aligned_pac_bio_set_id	aligned_pac_bio_id
PMGRC-284-284-0_1	PMGRC-284-284-0_1
PMGRC-417-417-0_1	PMGRC-417-417-0_1
PMGRC-192-191-2_1	PMGRC-192-191-2_1
PMGRC-522-522-0_1	PMGRC-522-522-0_1
PMGRC-248-248-0_1	PMGRC-248-248-0_1
PMGRC-575-575-0_1	PMGRC-575-575-0_1
PMGRC-331-332-1_1	PMGRC-331-332-1_1
PMGRC-527-522-1_1	PMGRC-527-522-1_1
PMGRC-109-108-2_1	PMGRC-109-108-2_1
PMGRC-292-291-2_1	PMGRC-292-291-2_1
PMGRC-414-417-2_1	PMGRC-414-417-2_1
PMGRC-191-191-0_1	PMGRC-191-191-0_1
PMGRC-323-323-0_1	PMGRC-323-323-0_1
PMGRC-415-417-1_1	PMGRC-415-417-1_1
PMGRC-562-562-0_1	PMGRC-562-562-0_1
PMGRC-39-39-0_1	PMGRC-39-39-0_1
PMGRC-373-372-2_1	PMGRC-373-372-2_1
PMGRC-106-106-0_1	PMGRC-106-106-0_1
PMGRC-525-525-0_1	PMGRC-525-525-0_1
PMGRC-321-323-2_1	PMGRC-321-323-2_1
PMGRC-572-572-0_1	PMGRC-572-572-0_1
PMGRC-770-770-0_1	PMGRC-770-770-0_1
PMGRC-84-82-1_1	PMGRC-84-82-1_1
PMGRC-193-191-1_1	PMGRC-193-191-1_1
PMGRC-615-615-0_1	PMGRC-615-615-0_1
PMGRC-646-645-1_1	PMGRC-646-645-1_1
PMGRC-425-423-1_1	PMGRC-425-423-1_1
PMGRC-423-423-0_1	PMGRC-423-423-0_1
PMGRC-449-445-2_1	PMGRC-449-445-2_1
PMGRC-372-372-0_1	PMGRC-372-372-0_1
PMGRC-768-770-1_1	PMGRC-768-770-1_1
PMGRC-450-445-1_1	PMGRC-450-445-1_1
PMGRC-108-108-0_1	PMGRC-108-108-0_1
PMGRC-45-43-1_1	PMGRC-45-43-1_1
PMGRC-374-372-1_1	PMGRC-374-372-1_1
PMGRC-645-645-0_1	PMGRC-645-645-0_1
PMGRC-291-291-0_1	PMGRC-291-291-0_1
PMGRC-614-615-1_1	PMGRC-614-615-1_1
PMGRC-661-661-0_1	PMGRC-661-661-0_1
PMGRC-482-482-0_1	PMGRC-482-482-0_1
PMGRC-483-482-2_1	PMGRC-483-482-2_1
PMGRC-424-423-2_1	PMGRC-424-423-2_1
PMGRC-644-645-2_1	PMGRC-644-645-2_1
PMGRC-82-82-0_1	PMGRC-82-82-0_1
PMGRC-663-661-1_1	PMGRC-663-661-1_1
PMGRC-330-332-2_1	PMGRC-330-332-2_1
PMGRC-43-43-0_1	PMGRC-43-43-0_1
PMGRC-662-661-2_1	PMGRC-662-661-2_1
PMGRC-769-770-2_1	PMGRC-769-770-2_1
PMGRC-613-615-2_1	PMGRC-613-615-2_1
PMGRC-484-482-1_1	PMGRC-484-482-1_1
PMGRC-445-445-0_1	PMGRC-445-445-0_1
PMGRC-521-522-2_1	PMGRC-521-522-2_1
PMGRC-332-332-0_1	PMGRC-332-332-0_1
